approach,folder,paths_exists,n_paths,total_length,mean_length,median_length,mean_cost,median_cost,mean_confidence,heatmap_exists,heatmap_max,heatmap_mean,heatmap_coverage_pct
1. Baseline Dijkstra,m1_dijkstra,True,3,245.45941546018398,81.81980515339465,83.54772721475254,63.21009453616256,64.88172452633225,,True,2.0,0.02028867043554783,7.706971677559912
2. Corridor Bonus,m2_corridor,True,3,245.45941546018398,81.81980515339465,83.54772721475254,67.68145840658798,68.25366181401073,,True,2.0,0.02028186246752739,8.469498910675382
3. KNN Routing,knn_mark_building,True,15,346.7497833620557,23.11665222413705,11.121320343559642,20.411772637771,8.897890004820503,,True,6.0,0.009894698858261108,4.901960784313726
4. A* + Tobler,m4_astar_tobler,True,3,256.58073580374366,85.52691193458122,84.94112549695431,16.63998849233323,16.55139345906032,,True,2.0,0.02110566385090351,4.139433551198257
5. Bayesian Ensemble,m5_bayesian,True,3,245.45941546018398,81.81980515339465,83.54772721475254,,,,True,2.0,0.020152505487203598,4.8202614379084965
6. Random Walk,m6_random_walk,True,3,245.45941546018398,81.81980515339465,83.54772721475254,67.68145840658798,68.25366181401073,,True,2.0,0.11608115583658218,53.4041394335512
7. Visibility Graph,m7_visibility_graph,False,0,,,,,,,True,0.0,0.0,0.0
8. Entrance-Aware,m3_entrance_aware,True,3,250.42997820866114,83.47665940288705,83.54772721475254,137.40565072565954,143.59286226830585,,True,2.0,0.02028186246752739,8.796296296296296
9. Spectral Anomaly,mA_spectral_anomaly,True,200,694.3723240084894,3.471861620042447,2.1213203435596424,,,0.4764667286936027,False,,,
10. Structure Tensor,mB_structure_tensor,True,38,201.33809511662423,5.2983709241216905,2.560660171779821,,,0.41335463124508653,False,,,
11. MaxEnt IRL,mC_irl_learned,True,3,230.09545442950505,76.69848480983502,81.06244584051396,47.34085693554795,49.80538373358301,,True,2.0,0.01888616569340229,7.434640522875817
